标签名,标签ID,描述,单位,类型
FW.#1CLBY,1,@ Ovation Control Builder @,,digital
FW.#1CLQG,2,#1超滤设备全关,,digital
FW.#1EDI_AUTOM,3,#1EDI装置启停步序自动,,digital
FW.#1EDI_DONE,4,#1EDI装置启停步序结束,,digital
FW.#1EDI_FB1,5,#1EDI装置启停步序反馈1,,digital
FW.#1EDI_FB1TIME,6,#1EDI装置启停步序反馈1时间,,float32
FW.#1EDI_FB1TIMESPO,7,@ Ovation Control Builder @,,float32
FW.#1EDI_FB2,8,#1EDI装置启停步序反馈2,,digital
FW.#1EDI_FB2TIME,9,#1EDI装置启停步序反馈2时间,,float32
FW.#1EDI_FB2TIMESPO,10,@ Ovation Control Builder @,,float32
FW.#1EDI_FB3,11,#1EDI装置启停步序反馈3,,digital
FW.#1EDI_FB3TIME,12,#1EDI装置启停步序反馈3时间,,float32
FW.#1EDI_FB3TIMESPO,13,@ Ovation Control Builder @,,float32
FW.#1EDI_FB4,14,#1EDI装置启停步序反馈4,,digital
FW.#1EDI_FB4TIME,15,#1EDI装置启停步序反馈4时间,,float32
FW.#1EDI_FB4TIMESPO,16,@ Ovation Control Builder @,,float32
FW.#1EDI_LP,17,#1EDI装置启停步序状态点,,int32
FW.#1EDI_MANM,18,#1EDI装置启停步序手动,,digital
FW.#1EDI_READY,19,@ Ovation Control Builder @,,digital
FW.#1EDI_SEQ1,20,#1EDI装置启停STEP1,,digital
FW.#1EDI_SEQ2,21,#1EDI装置启停STEP2,,digital
FW.#1EDI_SEQ3,22,#1EDI装置启停STEP3,,digital
FW.#1EDI_SEQ4,23,#1EDI装置启停STEP4,,digital
FW.#1EDI_SEQGO,24,#1EDI装置启停步序启动,,digital
FW.#1EDI_SEQNUM,25,#1EDI装置启停当前步序,,float32
FW.#2CLBY,26,@ Ovation Control Builder @,,digital
FW.#2CLQG,27,#2超滤设备全关,,digital
FW.#2EDI_AUTOM,28,#2EDI装置启停步序自动,,digital
FW.#2EDI_DONE,29,#2EDI装置启停步序结束,,digital
FW.#2EDI_FB1,30,#2EDI装置启停步序反馈1,,digital
FW.#2EDI_FB1TIME,31,#2EDI装置启停步序反馈1时间,,float32
FW.#2EDI_FB1TIMESPO,32,@ Ovation Control Builder @,,float32
FW.#2EDI_FB2,33,#2EDI装置启停步序反馈2,,digital
FW.#2EDI_FB2TIME,34,#2EDI装置启停步序反馈2时间,,float32
FW.#2EDI_FB2TIMESPO,35,@ Ovation Control Builder @,,float32
FW.#2EDI_FB3,36,#2EDI装置启停步序反馈3,,digital
FW.#2EDI_FB3TIME,37,#2EDI装置启停步序反馈3时间,,float32
FW.#2EDI_FB3TIMESPO,38,@ Ovation Control Builder @,,float32
FW.#2EDI_FB4,39,#2EDI装置启停步序反馈4,,digital
FW.#2EDI_FB4TIME,40,#2EDI装置启停步序反馈4时间,,float32
FW.#2EDI_FB4TIMESPO,41,@ Ovation Control Builder @,,float32
FW.#2EDI_LP,42,#2EDI装置启停步序状态点,,int32
FW.#2EDI_MANM,43,#2EDI装置启停步序手动,,digital
FW.#2EDI_READY,44,@ Ovation Control Builder @,,digital
FW.#2EDI_SEQ1,45,#2EDI装置启停STEP1,,digital
FW.#2EDI_SEQ2,46,#2EDI装置启停STEP2,,digital
FW.#2EDI_SEQ3,47,#2EDI装置启停STEP3,,digital
FW.#2EDI_SEQ4,48,#2EDI装置启停STEP4,,digital
FW.#2EDI_SEQGO,49,#2EDI装置启停步序启动,,digital
FW.#2EDI_SEQNUM,50,#2EDI装置启停当前步序,,float32
FW.#3CLBY,51,@ Ovation Control Builder @,,digital
FW.#3CLQG,52,#3超滤设备全关,,digital
FW.#3EDI_AUTOM,53,#3EDI装置启停步序自动,,digital
FW.#3EDI_DONE,54,#3EDI装置启停步序结束,,digital
FW.#3EDI_FB1,55,#3EDI装置启停步序反馈1,,digital
FW.#3EDI_FB1TIME,56,#3EDI装置启停步序反馈1时间,,float32
FW.#3EDI_FB1TIMESPO,57,@ Ovation Control Builder @,,float32
FW.#3EDI_FB2,58,#3EDI装置启停步序反馈2,,digital
FW.#3EDI_FB2TIME,59,#3EDI装置启停步序反馈2时间,,float32
FW.#3EDI_FB2TIMESPO,60,@ Ovation Control Builder @,,float32
FW.#3EDI_FB3,61,#3EDI装置启停步序反馈3,,digital
FW.#3EDI_FB3TIME,62,#3EDI装置启停步序反馈3时间,,float32
FW.#3EDI_FB3TIMESPO,63,@ Ovation Control Builder @,,float32
FW.#3EDI_FB4,64,#3EDI装置启停步序反馈4,,digital
FW.#3EDI_FB4TIME,65,#3EDI装置启停步序反馈4时间,,float32
FW.#3EDI_FB4TIMESPO,66,@ Ovation Control Builder @,,float32
FW.#3EDI_LP,67,#3EDI装置启停步序状态点,,int32
FW.#3EDI_MANM,68,#3EDI装置启停步序手动,,digital
FW.#3EDI_READY,69,@ Ovation Control Builder @,,digital
FW.#3EDI_SEQ1,70,#3EDI装置启停STEP1,,digital
FW.#3EDI_SEQ2,71,#3EDI装置启停STEP2,,digital
FW.#3EDI_SEQ3,72,#3EDI装置启停STEP3,,digital
FW.#3EDI_SEQ4,73,#3EDI装置启停STEP4,,digital
FW.#3EDI_SEQGO,74,#3EDI装置启停步序启动,,digital
FW.#3EDI_SEQNUM,75,#3EDI装置启停当前步序,,float32
FW.#4CLBY,76,@ Ovation Control Builder @,,digital
FW.#4CLQG,77,#4超滤设备全关,,digital
FW.#4EDI_AUTOM,78,#4EDI装置启停步序自动,,digital
FW.#4EDI_DONE,79,#4EDI装置启停步序结束,,digital
FW.#4EDI_FB1,80,#4EDI装置启停步序反馈1,,digital
FW.#4EDI_FB1TIME,81,#4EDI装置启停步序反馈1时间,,float32
FW.#4EDI_FB1TIMESPO,82,@ Ovation Control Builder @,,float32
FW.#4EDI_FB2,83,#4EDI装置启停步序反馈2,,digital
FW.#4EDI_FB2TIME,84,#4EDI装置启停步序反馈2时间,,float32
FW.#4EDI_FB2TIMESPO,85,@ Ovation Control Builder @,,float32
FW.#4EDI_FB3,86,#4EDI装置启停步序反馈3,,digital
FW.#4EDI_FB3TIME,87,#4EDI装置启停步序反馈3时间,,float32
FW.#4EDI_FB3TIMESPO,88,@ Ovation Control Builder @,,float32
FW.#4EDI_FB4,89,#4EDI装置启停步序反馈4,,digital
FW.#4EDI_FB4TIME,90,#4EDI装置启停步序反馈4时间,,float32
FW.#4EDI_FB4TIMESPO,91,@ Ovation Control Builder @,,float32
FW.#4EDI_LP,92,#4EDI装置启停步序状态点,,int32
FW.#4EDI_MANM,93,#4EDI装置启停步序手动,,digital
FW.#4EDI_READY,94,@ Ovation Control Builder @,,digital
FW.#4EDI_SEQ1,95,#4EDI装置启停STEP1,,digital
FW.#4EDI_SEQ2,96,#4EDI装置启停STEP2,,digital
FW.#4EDI_SEQ3,97,#4EDI装置启停STEP3,,digital
FW.#4EDI_SEQ4,98,#4EDI装置启停STEP4,,digital
FW.#4EDI_SEQGO,99,#4EDI装置启停步序启动,,digital
FW.#4EDI_SEQNUM,100,#4EDI装置启停当前步序,,float32
FW.0ALARM,101,@ Ovation Control Builder @,,digital
FW.0JJ,102,不使用加碱泵,,digital
FW.0REALARM,103,@ Ovation Control Builder @,,digital
FW.0ZG/HY,104,不使用阻垢/还原泵,,digital
FW.1,105,@ Ovation Control Builder @,,digital
FW.10ALARM,106,@ Ovation Control Builder @,,digital
FW.10ALARM1,107,@ Ovation Control Builder @,,digital
FW.10REALARM,108,@ Ovation Control Builder @,,digital
FW.11ALARM,109,@ Ovation Control Builder @,,digital
FW.11ALARM1,110,@ Ovation Control Builder @,,digital
FW.11REALARM,111,@ Ovation Control Builder @,,digital
FW.12ALARM,112,@ Ovation Control Builder @,,digital
FW.12ALARM1,113,@ Ovation Control Builder @,,digital
FW.12REALARM,114,@ Ovation Control Builder @,,digital
